Name,Ingredients,Category
Product 1,"Tinosorb M - a chemical UV filter, Butyl Acetate, Zinc Stearate, PEG-40 Hydrogenated Castor Oil, Benzophenone-4, Cyclomethicone, Linalool, Trideceth-6, Triethoxycaprylylsilane, Calcium Carbonate, Walnut Shell Powder (Juglans Regia), Tocopheryl Acetate (Vitamin E), Isododecane, Prunus Amygdalus Dulcis (Sweet Almond) Oil, Butylene Glycol, Hydrogenated Polyisobutene, Stearamidopropyl Dimethylamine, Propane",toxic
Product 2,"Paraffin, Aluminum Powder, Sorbitan Oleate, Tocopheryl Acetate (Vitamin E), Phenoxyethanol, Potassium Sorbate, Polysorbate 20, Helianthus Annuus (Sunflower) Seed Oil, PVP/VA Copolymer, Candelilla Wax (Euphorbia Cerifera), Polyethylene, Alumina, Creatine, Amodimethicone, Benzophenone-3, Red 7 Lake (CI 15850), Zinc Stearate, Dimethiconol, Synthetic Fluorphlogopite, Uvinul A Plus - a chemical UV filter",toxic
Product 3,"Helianthus Annuus (Sunflower) Seed Oil, Propylene Glycol Dicaprylate/Dicaprate, Retinyl Palmitate (Vitamin A), Carnauba Wax (Copernicia Cerifera), Jojoba Esters, Hydrolyzed Wheat Protein, PVP (Polyvinylpyrrolidone), Polyglyceryl-2 Triisostearate, Polysorbate 80, Creatine, Paraffin, PEG-8 Dimethicone, Calcium Pantothenate, Bismuth Oxychloride",toxic
Product 4,"Urea, Ethylhexylglycerin, Octinoxate - a chemical UV filter, Cetyl Alcohol, Polyvinylpyrrolidone (PVP), Cocamide MEA, Kaolin, Polyethylene, Stearamidopropyl Dimethylamine, Tosylamide/Formaldehyde Resin, Lecithin, Butylene Glycol, Butyrospermum Parkii (Shea Butter), Cocamide DEA, Silica Dimethyl Silylate",toxic
Product 5,"Sodium Chloride, Citric Acid, Tocopheryl Acetate (Vitamin E), Ferric Ammonium Ferrocyanide, Ceramide EOP, Cocamide DEA, Olive Fruit Oil (Olea Europaea), Isobutyl Acetate, Ethylhexylglycerin, Silk Amino Acids, Mica, Lecithin",clean
Product 6,"Dicaprylyl Ether, Propylene Glycol, Propane, Glycol Distearate, Mexoryl SX - a chemical UV filter, Avocado Oil (Persea Gratissima), Arginine, Lauryl PEG/PPG-18/18 Methicone, Propylene Glycol, Tinosorb M - a chemical UV filter, Butyl Acetate, Manganese Violet (CI 77742), Iron Oxides, Alcohol Denat. (SD Alcohol 40), Ethyl Tosylamide, Calcium Pantothenate, Propylene Carbonate, Dimethicone, Kaolin, Trimethylsiloxysilicate",toxic
Product 7,"Coumarin, Panthenol (Provitamin B5), Polyethylene, Polyvinyl Butyral, Hydroxyethylcellulose, Behentrimonium Chloride, Cetyl Alcohol, Synthetic Fluorphlogopite, Calcium Aluminum Borosilicate, Silica Dimethyl Silylate, Lauryl PEG/PPG-18/18 Methicone, Urea, Avocado Oil (Persea Gratissima), Hydrolyzed Rice Protein, Benzyl Benzoate, Titanium Dioxide",toxic
Product 8,"Red 40 Lake (CI 16035), Sodium Chloride, Stearalkonium Hectorite, Behentrimonium Chloride, Hyaluronic Acid, Cocamidopropyl Betaine, Retinyl Palmitate (Vitamin A), Hydrolyzed Oat Protein, Sunflower Seed Oil (Helianthus Annuus), Caprylyl Glycol",clean
Product 9,"C12-15 Alkyl Benzoate, Butylene Glycol, Stearalkonium Hectorite, Nitrocellulose, Magnesium Stearate, Butyrospermum Parkii (Shea Butter), Sodium Lauryl Sulfate, Oxybenzone - a chemical UV filter, Ethylhexylglycerin, Kaolin, Hexyl Laurate, Avocado Oil (Persea Gratissima)",toxic
Product 10,"Butane, Carmine (CI 75470), Chromium Oxide Greens (CI 77288), Hydrolyzed Jojoba Esters, Apricot Seed Powder (Prunus Armeniaca), Sunflower Seed Oil (Helianthus Annuus), Tocopheryl Acetate (Vitamin E), Isostearyl Alcohol, Isopropyl Palmitate, Ethylhexyl Methoxycinnamate, Stearic Acid, Fragrance (Parfum)",clean
